"Code","Country","Continent","Date","NewCases","NewDeaths","Recovered","NewTests","Population","GDP","GDPCapita","Month","Week","CumCases","CumDeaths","CumRecovered","CumTests","Active","FatalityRate","Cases_1M_Pop","Deaths_1M_Pop","Recovered_1M_Pop","Tests_1M_Pop"
"AFG","Afghanistan","Asia",2020-05-05,190,5,0,0,37172386,21992,619,5,18,2894,90,0,0,2804,3.10988251554941,77.8534904915708,2.42115208854229,0,0
"ALB","Albania","Europe",2020-05-05,8,0,0,0,2866376,13039,4450,5,18,803,31,0,0,772,3.86052303860523,280.144684437771,10.8150500841481,0,0
"DZA","Algeria","Africa",2020-05-05,174,2,0,0,42228429,167555,4055,5,18,4648,465,0,0,4183,10.0043029259897,110.068030236218,11.0115391695012,0,0
"AND","Andorra","Europe",2020-05-05,2,0,0,0,77006,3278,39153,5,18,750,45,0,0,705,6,9739.50081811807,584.370049087084,0,0
"AGO","Angola","Africa",2020-05-05,0,0,0,0,30809762,126505,4247,5,18,35,2,0,0,33,5.71428571428571,1.13600358224124,0.0649144904137851,0,0
"AIA","Anguilla","North America",2020-05-05,0,0,0,0,14731,311,29493,5,18,3,0,0,0,3,0,203.652162107121,0,0,0
"ATG","Antigua and Barbuda","North America",2020-05-05,0,0,0,0,96286,1248,14803,5,18,25,3,0,0,22,12,259.643146459506,31.1571775751407,0,0
"ARG","Argentina","South America",2020-05-05,104,14,0,0,44494502,637486,14400,5,18,4874,260,0,58685,4614,5.33442757488716,109.541623816803,5.84341858686271,0,1318.92699911553
"ARM","Armenia","Europe",2020-05-05,121,4,0,0,2951776,11536,3937,5,18,2507,39,0,0,2468,1.5556441962505,849.319189531997,13.2123846795963,0,0
"ABW","Aruba","North America",2020-05-05,0,0,0,0,105845,2664,25655,5,18,100,2,0,0,98,2,944.777741036421,18.8955548207284,0,0
"AUS","Australia","Oceania",2020-05-05,24,0,0,14542,24992369,1408675,57613,5,18,6825,95,0,664756,6730,1.39194139194139,273.083355963574,3.80116026615964,0,26598.3588830655
"AUT","Austria","Europe",2020-05-05,24,2,0,6812,8847037,416835,47718,5,18,15621,600,0,285883,15021,3.84098329172268,1765.6758980436,67.8193162298293,0,32313.9826362205
"AZE","Azerbaijan","Europe",2020-05-05,52,1,0,0,9942334,40748,4146,5,18,1984,26,0,0,1958,1.31048387096774,199.550729235208,2.61508012102591,0,0
"BHS","Bahamas","North America",2020-05-05,0,0,0,0,385640,11791,29825,5,18,83,11,0,0,72,13.2530120481928,215.226636241054,28.5240120319469,0,0
"BHR","Bahrain","Asia",2020-05-05,150,0,0,5915,1569439,35325,23688,5,18,3533,8,0,155501,3525,0.226436456269459,2251.12285345273,5.0973628156303,0,99080.6268991659
"BGD","Bangladesh","Asia",2020-05-05,688,5,0,5705,161356039,254646,1492,5,18,10143,182,0,93403,9961,1.79434092477571,62.8609878059786,1.12794042992094,0,578.86274712036
"BRB","Barbados","North America",2020-05-05,0,0,0,0,286641,4353,16494,5,18,82,7,0,0,75,8.53658536585366,286.07212506236,24.42079116386,0,0
"BLR","Belarus","Europe",2020-05-05,784,4,0,0,9485386,54441,5750,5,18,17489,103,0,211369,17386,0.588941620447138,1843.78368998373,10.8588095413302,0,22283.6477081692
"BEL","Belgium","Europe",2020-05-05,361,80,0,0,11422068,494763,43289,5,18,50267,7924,0,372654,42343,15.7638211948197,4400.86681326009,693.744775464478,0,32625.7907062014
"BLZ","Belize","North America",2020-05-05,0,0,0,0,383071,1902,5077,5,18,18,2,0,0,16,11.1111111111111,46.9886783390024,5.22096425988916,0,0
"BEN","Benin","Africa",2020-05-05,6,0,0,0,11485048,9236,826,5,18,96,2,0,0,94,2.08333333333333,8.35869384263784,0.174139455054955,0,0
"BMU","Bermuda","North America",2020-05-05,0,0,0,0,63968,5601,102192,5,18,115,7,0,0,108,6.08695652173913,1797.77388694347,109.429714857429,0,0
"BTN","Bhutan","Asia",2020-05-05,0,0,0,0,754394,2562,3173,5,18,7,0,0,0,7,0,9.2789709356119,0,0,0
"BOL","Bolivia","South America",2020-05-05,87,6,0,0,11353142,37508,3394,5,18,1681,82,0,7767,1599,4.8780487804878,148.064738378151,7.22267016478786,0,684.127794754967
"BES","Bonaire Sint Eustatius and Saba","North America",2020-05-05,0,0,0,0,25987,428,16470,5,18,6,0,0,0,6,0,230.884673105784,0,0,0
"BIH","Bosnia and Herzegovina","Europe",2020-05-05,69,1,0,0,3323929,18169,5181,5,18,1926,78,0,0,1848,4.04984423676012,579.434759286375,23.4662052047441,0,0
"BWA","Botswana","Africa",2020-05-05,0,0,0,0,2254126,17406,7596,5,18,23,1,0,0,22,4.34782608695652,10.2035112500366,0.443630923914635,0,0
"BRA","Brazil","South America",2020-05-05,6633,296,0,0,209469333,2055512,9821,5,18,107780,7321,0,0,100459,6.79254035999258,514.538326237951,34.9502234773431,0,0
"VGB","British Virgin Islands","North America",2020-05-05,1,0,0,0,29802,902,31917,5,18,7,1,0,0,6,14.2857142857143,234.883564861419,33.5547949802027,0,0
"BRN","Brunei","Asia",2020-05-05,0,0,0,0,428962,12128,28291,5,18,138,1,0,0,137,0.72463768115942,321.70681785333,2.33120882502413,0,0
"BGR","Bulgaria","Europe",2020-05-05,34,5,0,1158,7024216,58222,8218,5,18,1652,78,0,50303,1574,4.72154963680387,235.186389484606,11.1044421185226,0,7161.36861394923
"BFA","Burkina Faso","Africa",2020-05-05,10,1,0,0,19751535,12324,642,5,18,672,46,0,0,626,6.8452380952381,34.0226721619358,2.32893291584679,0,0
"BDI","Burundi","Africa",2020-05-05,0,0,0,0,11175378,2869,290,5,18,19,1,0,0,18,5.26315789473684,1.70016620466887,0.0894824318246774,0,0
"KHM","Cambodia","Asia",2020-05-05,0,0,0,0,16249798,22121,1382,5,18,122,0,0,0,122,0,7.50778563524297,0,0,0
"CMR","Cameroon","Africa",2020-05-05,27,0,0,0,25216237,34924,1452,5,18,2104,64,0,0,2040,3.04182509505703,83.4383020749686,2.53804721140589,0,0
"CAN","Canada","North America",2020-05-05,1298,172,0,21199,37058856,1647120,44974,5,18,60772,3854,0,940567,56918,6.34173632593958,1639.87792823394,103.996734275877,0,25380.3571270522
"CPV","Cape Verde","Africa",2020-05-05,10,0,0,0,543767,1855,3245,5,18,175,2,0,0,173,1.14285714285714,321.829018678956,3.6780459277595,0,0
"CYM","Cayman Islands","North America",2020-05-05,1,0,0,0,64174,3480,65472,5,18,75,1,0,0,74,1.33333333333333,1168.69760339078,15.5826347118771,0,0
"CAF","Central African Republic","Africa",2020-05-05,22,0,0,0,4666377,1992,428,5,18,94,0,0,0,94,0,20.144107516388,0,0,0
"TCD","Chad","Africa",2020-05-05,0,0,0,0,15477751,10716,719,5,18,117,10,0,0,107,8.54700854700855,7.55923777298136,0.646088698545415,0,0
"CHL","Chile","South America",2020-05-05,980,10,0,7964,18729160,277080,15347,5,18,20643,270,0,222095,20373,1.30794942595553,1102.18504193461,14.4160229289514,0,11858.2467126128
"CHN","China","Asia",2020-05-05,2,0,0,0,1392730000,12234781,8682,5,18,83966,4637,0,0,79329,5.52247338208322,60.2887853352768,3.32943212252195,0,0
"COL","Colombia","South America",2020-05-05,305,18,0,0,49648685,309191,6302,5,18,7973,358,0,123029,7615,4.49015427066349,160.588341866456,7.21066429050437,0,2477.99110892867
"COM","Comoros","Africa",2020-05-05,1,1,0,0,832322,648,1330,5,18,4,1,0,0,3,25,4.80583235814985,1.20145808953746,0,0
"COG","Congo","Africa",2020-05-05,7,0,0,0,5244363,11292,2147,5,18,236,10,0,0,226,4.23728813559322,45.0006988455986,1.90680927311858,0,0
"CRI","Costa Rica","North America",2020-05-05,3,0,0,73,4999441,57564,11734,5,18,742,6,0,9892,736,0.808625336927224,148.416592975095,1.20013417500077,0,1978.62120985126
"CIV","Cote d'Ivoire","Africa",2020-05-05,34,0,0,0,25069229,38054,1566,5,18,1432,17,0,0,1415,1.18715083798883,57.121820539435,0.678122171208377,0,0
"HRV","Croatia","Europe",2020-05-05,5,1,0,933,4089400,55201,13177,5,18,2101,80,0,39973,2021,3.80771061399334,513.767300826527,19.5627720447987,0,9774.78358683425
"CUB","Cuba","North America",2020-05-05,19,2,0,0,11338138,96851,8433,5,18,1668,69,0,57711,1599,4.13669064748201,147.114102862392,6.08565533423566,0,5089.98920281267
"CUW","Curacao","North America",2020-05-05,0,0,0,0,159849,3159,19586,5,18,16,1,0,0,15,6.25,100.094464150542,6.25590400940888,0,0
"CYP","Cyprus","Europe",2020-05-05,2,0,0,0,1189265,22054,25790,5,18,874,20,0,0,854,2.2883295194508,734.907695088984,16.8171097274367,0,0
"CZE","Czech Republic","Europe",2020-05-05,38,4,0,0,10625695,215824,20326,5,18,7819,252,0,269093,7567,3.22291853178156,735.857748599033,23.7160957471488,0,25324.7434638393
"COD","Democratic Republic of Congo","Africa",2020-05-05,0,0,0,0,84068091,37642,463,5,18,684,34,0,0,650,4.97076023391813,8.13626183090086,0.404434067617879,0,0
"DNK","Denmark","Europe",2020-05-05,147,9,0,12947,5797446,329865,57533,5,18,9670,493,0,257738,9177,5.09824198552223,1667.97586385453,85.0374457994089,0,44457.1626885356
"DJI","Djibouti","Africa",2020-05-05,4,0,0,0,958920,1844,1928,5,18,1116,2,0,0,1114,0.17921146953405,1163.80928544613,2.08567972302173,0,0
"DMA","Dominica","North America",2020-05-05,0,0,0,0,71625,533,6719,5,18,16,0,0,0,16,0,223.385689354276,0,0,0
"DOM","Dominican Republic","North America",2020-05-05,281,13,0,0,10627165,75931,7052,5,18,8235,346,0,0,7889,4.20157862780814,774.900926070123,32.5580716964496,0,0
"ECU","Ecuador","South America",2020-05-05,2343,5,0,0,17084357,104295,6273,5,18,31881,1569,0,66160,30312,4.92142655500141,1866.09305811158,91.8383993029413,0,3872.54843714633
"EGY","Egypt","Africa",2020-05-05,348,7,0,0,98423595,195135,2000,5,18,6813,436,0,0,6377,6.39953030970204,69.2212065612925,4.42983209463137,0,0
"SLV","El Salvador","North America",2020-05-05,32,1,0,0,6420744,24805,3889,5,18,587,13,0,32030,574,2.21465076660988,91.4224270582973,2.02468748169994,0,4988.51846452685
"GNQ","Equatorial Guinea","Africa",2020-05-05,0,1,0,0,1308974,12487,9850,5,18,315,2,0,0,313,0.634920634920635,240.646491068577,1.52791422900684,0,0
"ERI","Eritrea","Africa",2020-05-05,0,0,0,0,3546421,3858,1147,5,18,39,0,0,0,39,0,10.9970023299546,0,0,0
"EST","Estonia","Europe",2020-05-05,3,0,0,0,1320884,25921,19793,5,18,1703,55,0,57423,1648,3.22959483264827,1289.28808282938,41.6387813010075,0,43473.1588845046
"ETH","Ethiopia","Africa",2020-05-05,5,0,0,0,109224559,75605,720,5,18,140,3,0,24088,137,2.14285714285714,1.28176301448834,0.0274663503104645,0,220.536482092823
"FRO","Faeroe Islands","Europe",2020-05-05,0,0,0,0,48497,2707,55823,5,18,187,0,0,0,187,0,3855.90861290389,0,0,0
"FLK","Falkland Islands","South America",2020-05-05,0,0,0,0,3398,228,96962,5,18,13,0,0,0,13,0,3825.77987051207,0,0,0
"FJI","Fiji","Oceania",2020-05-05,0,0,0,0,883483,4532,5382,5,18,18,0,0,0,18,0,20.3739064588679,0,0,0
"FIN","Finland","Europe",2020-05-05,73,10,0,0,5518050,252246,45670,5,18,5327,240,0,106272,5087,4.50535010324761,965.377261895053,43.4936254655177,0,19258.9773561312
"FRA","France","Europe",2020-05-05,576,306,0,0,66987244,2582492,38415,5,18,131863,25201,0,724574,106662,19.1115020892896,1968.4792525574,376.20595347974,0,10816.5966642843
"PYF","French Polynesia","Oceania",2020-05-05,0,0,0,0,277679,5623,19807,5,18,58,0,0,0,58,0,208.874275692436,0,0,0
"GAB","Gabon","Africa",2020-05-05,32,1,0,0,2119275,14623,7221,5,18,367,6,0,0,361,1.63487738419619,173.172429250569,2.8311568814807,0,0
"GMB","Gambia","Africa",2020-05-05,0,0,0,0,2280102,851,709,5,18,17,1,0,0,16,5.88235294117647,7.45580680162554,0.438576870683855,0,0
"GEO","Georgia","Europe",2020-05-05,4,0,0,0,3731000,15159,3875,5,18,593,9,0,0,584,1.5177065767285,158.938622353257,2.41222192441705,0,0
"DEU","Germany","Europe",2020-05-05,685,139,0,0,82927922,3693204,44976,5,18,163860,6831,0,2547052,157029,4.16880263639692,1975.93278654685,82.3727380989964,0,30714.0458674462
"GHA","Ghana","Africa",2020-05-05,550,0,0,0,29767108,58996,2046,5,18,2719,18,0,129461,2701,0.662008091210004,91.3424307124495,0.604694282024307,0,4349.12924695271
"GIB","Gibraltar","Europe",2020-05-05,0,0,0,0,33718,2134,63309,5,18,144,0,0,0,144,0,4270.71593807462,0,0,0
"GRC","Greece","Europe",2020-05-05,6,2,0,0,10727668,203085,18198,5,18,2632,146,0,80951,2486,5.54711246200608,245.34689179419,13.6096680098601,0,7546.00161004237
"GRL","Greenland","North America",2020-05-05,0,0,0,0,56025,2441,49398,5,18,11,0,0,0,11,0,196.340919232486,0,0,0
"GRD","Grenada","North America",2020-05-05,0,0,0,0,111454,884,10451,5,18,21,0,0,0,21,0,188.418540384374,0,0,0
"GUM","Guam","Oceania",2020-05-05,0,0,0,0,165768,5920,35713,5,18,149,5,0,0,144,3.35570469798658,898.846580763477,30.1626369383717,0,0
"GTM","Guatemala","North America",2020-05-05,27,2,0,0,17247807,75619,4471,5,18,730,19,0,0,711,2.6027397260274,42.3242212763628,1.10158932089164,0,0
"GGY","Guernsey","Europe",2020-05-05,0,0,0,0,63026,4110,65219,5,18,252,13,0,0,239,5.15873015873016,3998.34988734808,206.264081490179,0,0
"GIN","Guinea","Africa",2020-05-05,124,2,0,0,12414318,10208,803,5,18,1710,9,0,0,1701,0.526315789473684,137.744175717103,0.724969345879492,0,0
"GNB","Guinea-Bissau","Africa",2020-05-05,121,0,0,0,1874309,1209,724,5,18,413,2,0,0,411,0.484261501210654,220.347872202502,1.06705991381357,0,0
"GUY","Guyana","South America",2020-05-05,10,0,0,0,779004,3086,4555,5,18,92,9,0,0,83,9.78260869565217,118.099521953674,11.5532141041638,0,0
"HTI","Haiti","North America",2020-05-05,15,3,0,0,11123176,8521,776,5,18,100,11,0,0,89,11,8.99023803992673,0.98892618439194,0,0
"HND","Honduras","North America",2020-05-05,123,0,0,0,9587522,22978,2480,5,18,1178,82,0,0,1096,6.96095076400679,122.868036182864,8.55278350339118,0,0
"HUN","Hungary","Europe",2020-05-05,30,12,0,1599,9768785,139761,14376,5,18,3065,363,0,85557,2702,11.8433931484502,313.754474072262,37.1591758852304,0,8758.20278570979
"ISL","Iceland","Europe",2020-05-05,0,0,0,0,353574,24476,73060,5,18,1799,10,0,51304,1789,0.555864369093941,5088.04380412587,28.2826225910276,0,145101.166941008
"IND","India","Asia",2020-05-05,3900,195,0,84713,1352617328,2575666,1923,5,18,46433,1568,0,1191946,44865,3.37690866409666,34.3282605056203,1.15923400324796,0,881.214498236858
"IDN","Indonesia","Asia",2020-05-05,395,19,0,2863,267663435,1015539,3847,5,18,11587,864,0,88924,10723,7.45663243289894,43.2894392168284,3.2279343646621,0,332.223189170385
"IRN","Iran","Asia",2020-05-05,1223,74,0,11255,81800269,460976,5680,5,18,98647,6277,0,519543,92370,6.3630926434661,1205.94957945676,76.7356889743235,0,6351.36053158945
"IRQ","Iraq","Asia",2020-05-05,50,1,0,0,38433600,182023,4756,5,18,2346,98,0,0,2248,4.1773231031543,61.0403397027601,2.54985221264727,0,0
"IRL","Ireland","Europe",2020-05-05,216,16,0,61707,4853506,331430,69604,5,18,21722,1319,0,214761,20403,6.07218488168677,4475.5275876861,271.762309555196,0,44248.6318137857
"IMN","Isle of Man","Europe",2020-05-05,4,1,0,0,84077,7112,84600,5,18,325,23,0,0,302,7.07692307692308,3865.5042401608,273.55876161138,0,0
"ISR","Israel","Asia",2020-05-05,38,3,0,2613,8883800,353268,42452,5,18,16246,235,0,413517,16011,1.44650991013172,1828.72194331255,26.4526441387694,0,46547.3108354533
"ITA","Italy","Europe",2020-05-05,1221,195,0,55263,60431283,1943835,32747,5,18,211938,29079,0,2246666,182859,13.7205220394644,3507.09085557558,481.191173783287,0,37177.2017483064
"JAM","Jamaica","North America",2020-05-05,2,0,0,0,2934855,14826,5130,5,18,471,9,0,0,462,1.91082802547771,160.484930260609,3.06659102408807,0,0
"JPN","Japan","Asia",2020-05-05,174,11,0,1757,126529100,4872415,38220,5,18,15231,521,0,186343,14710,3.42065524259733,120.375470939096,4.11762985747943,0,1472.72840793146
"JEY","Jersey","Europe",2020-05-05,1,0,0,0,106800,6408,60000,5,18,293,24,0,0,269,8.19112627986348,2743.4456928839,224.719101123595,0,0
"JOR","Jordan","Asia",2020-05-05,4,0,0,0,9956011,40708,4196,5,18,465,9,0,0,456,1.93548387096774,46.7054526155104,0.903976502235685,0,0
"KAZ","Kazakhstan","Asia",2020-05-05,157,2,0,13550,18276499,159406,8756,5,18,4121,29,0,320411,4092,0.703712691094395,225.480821025953,1.58673715354347,0,17531.3116587592
